Make,Year of manufacture,Condition,Mileage,Engine Size,Fuel,Transmission,Price,Build
lexus,2008,nigerian used,162262,4700,petrol,automatic,4725000.0,SUV
land rover,2008,nigerian used,179633,2500,petrol,automatic,5050000.0,
mercedes-benz,2008,nigerian used,59295,2500,petrol,automatic,5610000.0,
land rover,2011,nigerian used,132352,5000,petrol,automatic,5250000.0,SUV
toyota,2010,foreign used,170599,3500,petrol,automatic,6825000.0,SUV
lexus,2007,foreign used,203492,3500,petrol,automatic,4410000.0,
lexus,2014,foreign used,72352,3500,petrol,automatic,9240000.0,
mercedes-benz,2008,nigerian used,13123,2500,petrol,automatic,39210000.0,
lexus,2008,nigerian used,63086,2500,petrol,automatic,7850000.0,
fiat,2008,nigerian used,174,2500,petrol,manual,11700000.0,
lexus,2015,foreign used,228013,3500,petrol,automatic,15600000.0,SUV
mercedes-benz,2014,nigerian used,173644,1800,petrol,automatic,6090000.0,
toyota,2015,foreign used,79277,4000,petrol,automatic,17680000.0,SUV
lexus,2015,nigerian used,88745,3500,petrol,automatic,9450000.0,SUV
fiat,2000,foreign used,286241,24000,diesel,manual,3675000.0,
toyota,2010,foreign used,158017,3500,petrol,automatic,6825000.0,SUV
toyota,2012,foreign used,122807,3500,petrol,automatic,8820000.0,
lexus,2004,foreign used,250650,3500,petrol,automatic,6032000.0,SUV
mercedes-benz,2006,nigerian used,243975,3500,petrol,automatic,3360000.0,SUV
lexus,2013,foreign used,192175,3500,petrol,automatic,9880000.0,
land rover,2018,foreign used,30092,3000,diesel,automatic,36750000.0,SUV
lexus,2014,foreign used,77859,3500,petrol,automatic,10400000.0,
mercedes-benz,2012,foreign used,173337,3500,petrol,automatic,11025000.0,SUV
lexus,2008,nigerian used,63086,2500,petrol,automatic,7850000.0,
toyota,2015,foreign used,88627,3500,petrol,automatic,15600000.0,
lexus,2007,foreign used,141782,4600,petrol,automatic,4368000.0,
lexus,2005,foreign used,95873,3300,petrol,automatic,5200000.0,SUV
land rover,2018,foreign used,30092,3000,diesel,automatic,36750000.0,SUV
fiat,2000,foreign used,286241,24000,diesel,manual,3675000.0,
toyota,2011,foreign used,215398,3500,petrol,automatic,4725000.0,
mercedes-benz,2010,nigerian used,112360,4600,petrol,automatic,6240000.0,SUV
toyota,2010,foreign used,170599,3500,petrol,automatic,6825000.0,SUV
lexus,2007,foreign used,348830,3500,petrol,automatic,4095000.0,
lexus,2010,foreign used,344424,3500,petrol,automatic,9048000.0,SUV
lexus,2007,nigerian used,170778,3300,petrol,automatic,4680000.0,SUV
toyota,2012,foreign used,122807,3500,petrol,automatic,8820000.0,
mercedes-benz,2014,nigerian used,173644,1800,petrol,automatic,6090000.0,
mercedes-benz,2008,nigerian used,59295,2500,petrol,automatic,5610000.0,
mercedes-benz,2010,nigerian used,112360,4600,petrol,automatic,6240000.0,SUV
acura,2007,foreign used,233488,3700,petrol,automatic,3570000.0,SUV
toyota,2015,foreign used,88627,3500,petrol,automatic,15600000.0,
acura,2011,nigerian used,90726,3700,petrol,automatic,4200000.0,SUV
mercedes-benz,2014,nigerian used,152669,4700,petrol,automatic,13520000.0,SUV
toyota,2015,nigerian used,47602,3500,petrol,automatic,9660000.0,SUV
toyota,2008,foreign used,132566,4700,petrol,automatic,8320000.0,
lexus,2007,foreign used,255839,3500,petrol,automatic,5460000.0,
toyota,2013,nigerian used,126686,3500,petrol,automatic,7280000.0,SUV
lexus,2010,foreign used,344424,3500,petrol,automatic,9048000.0,SUV
lexus,2005,foreign used,95873,3300,petrol,automatic,5200000.0,SUV
land rover,2013,nigerian used,76069,4500,petrol,automatic,4200000.0,SUV
toyota,2007,foreign used,401813,2400,petrol,automatic,3885000.0,
lexus,2002,foreign used,119143,3000,petrol,automatic,3848000.0,SUV
land rover,2011,nigerian used,26628,5000,petrol,automatic,9360000.0,SUV
mercedes-benz,2006,nigerian used,231361,5000,petrol,automatic,3675000.0,
lexus,2007,foreign used,175135,3500,petrol,automatic,4500000.0,SUV
tata,2008,foreign used,161352,371000,diesel,manual,17850000.0,
lexus,2010,nigerian used,140073,3500,petrol,automatic,4784000.0,
toyota,2004,foreign used,294359,2400,petrol,automatic,4160000.0,SUV
saturn,2007,nigerian used,161352,3600,petrol,automatic,3150000.0,SUV
mercedes-benz,2015,foreign used,39662,3500,petrol,automatic,14560000.0,SUV
porsche,2004,foreign used,359713,4500,petrol,automatic,4200000.0,SUV
mercedes-benz,2010,nigerian used,96957,3500,petrol,automatic,6240000.0,SUV
toyota,2014,foreign used,65308,2000,petrol,automatic,9450000.0,
lexus,2007,foreign used,198969,2500,petrol,automatic,4992000.0,
toyota,2007,foreign used,149184,4000,petrol,automatic,6448000.0,SUV
lexus,2009,foreign used,173307,3500,petrol,automatic,4500000.0,
toyota,2009,foreign used,208827,2400,petrol,automatic,3952000.0,
lexus,2006,foreign used,376865,3500,petrol,automatic,4680000.0,
lexus,2014,foreign used,139592,4600,petrol,automatic,23920000.0,SUV
lexus,2008,nigerian used,97315,3200,petrol,automatic,3640000.0,
lexus,2010,nigerian used,140073,3500,petrol,automatic,4784000.0,
toyota,2015,foreign used,96531,3500,petrol,automatic,10290000.0,
acura,2011,nigerian used,78613,3700,petrol,automatic,6240000.0,SUV
lexus,2006,foreign used,100763,3000,petrol,automatic,3150000.0,
mercedes-benz,2010,foreign used,161352,2500,petrol,automatic,4200000.0,
toyota,2007,nigerian used,104336,2400,petrol,automatic,3328000.0,SUV
lexus,2007,foreign used,65060,3500,petrol,amt,3885000.0,
mercedes-benz,2007,nigerian used,1966,35,petrol,automatic,5720000.0,SUV
toyota,2017,foreign used,107748,2500,petrol,automatic,12600000.0,SUV
lexus,2011,foreign used,137902,3000,petrol,automatic,4992000.0,
mercedes-benz,2009,nigerian used,121829,4600,petrol,automatic,5720000.0,SUV
mercedes-benz,2010,nigerian used,96957,3500,petrol,automatic,6240000.0,SUV
mercedes-benz,2013,foreign used,232813,4700,petrol,automatic,14560000.0,
lexus,2007,foreign used,124511,3500,petrol,automatic,4200000.0,
mercedes-benz,2010,foreign used,161352,2500,petrol,automatic,4200000.0,
lexus,2015,nigerian used,24855,3500,petrol,automatic,10920000.0,SUV
land rover,2006,foreign used,213515,4400,petrol,automatic,3150000.0,SUV
toyota,2011,nigerian used,114388,4000,petrol,automatic,10500000.0,SUV
mercedes-benz,2008,foreign used,227689,3500,petrol,automatic,3885000.0,
toyota,2010,foreign used,236601,2500,petrol,automatic,6448000.0,SUV
land rover,2016,foreign used,102429,35,petrol,automatic,36750000.0,SUV
toyota,2017,foreign used,107748,2500,petrol,automatic,12600000.0,SUV
lexus,2006,foreign used,100763,3000,petrol,automatic,3150000.0,
mercedes-benz,2011,nigerian used,112122,4700,petrol,automatic,6760000.0,SUV
lexus,2007,nigerian used,170778,3300,petrol,automatic,4680000.0,SUV
lexus,2004,nigerian used,98430,4700,petrol,automatic,4680000.0,SUV
toyota,2008,foreign used,93474,3500,petrol,automatic,6300000.0,SUV
toyota,2011,foreign used,211357,2500,petrol,automatic,4515000.0,
mercedes-benz,2015,foreign used,168946,3500,petrol,automatic,17680000.0,SUV
toyota,2015,nigerian used,67161,2500,petrol,automatic,10400000.0,SUV
lexus,2007,foreign used,104138,3500,petrol,automatic,5928000.0,SUV
toyota,2010,foreign used,158684,2500,petrol,automatic,3780000.0,
mercedes-benz,2012,foreign used,165585,3500,petrol,automatic,13520000.0,SUV
toyota,2008,nigerian used,118743,3500,petrol,automatic,4784000.0,SUV
toyota,2010,foreign used,131164,2700,petrol,automatic,6090000.0,SUV
toyota,2009,foreign used,168603,2500,petrol,automatic,4620000.0,SUV
lexus,2009,foreign used,246462,3500,petrol,automatic,5200000.0,
mercedes-benz,2006,nigerian used,231361,5000,petrol,automatic,3675000.0,
land rover,2014,nigerian used,56908,5000,petrol,automatic,26000000.0,SUV
lexus,2008,foreign used,200262,35000,petrol,automatic,4680000.0,
toyota,2009,nigerian used,205371,3500,petrol,automatic,7072000.0,SUV
mercedes-benz,2006,nigerian used,380097,5000,petrol,automatic,5200000.0,SUV
mercedes-benz,2015,foreign used,39662,3500,petrol,automatic,14560000.0,SUV
lexus,2001,foreign used,199731,3000,petrol,automatic,3150000.0,SUV
lexus,2008,foreign used,85901,3500,petrol,automatic,3885000.0,
toyota,2005,foreign used,260730,4700,petrol,automatic,4992000.0,SUV
toyota,2007,foreign used,274477,2400,petrol,automatic,3640000.0,
toyota,2011,nigerian used,114388,4000,petrol,automatic,10500000.0,SUV
toyota,2011,foreign used,166839,2500,petrol,automatic,4160000.0,
mercedes-benz,2008,nigerian used,118616,2500,petrol,automatic,11210000.0,
toyota,2014,foreign used,70649,3500,petrol,automatic,8400000.0,SUV
mercedes-benz,2008,nigerian used,215559,2500,petrol,automatic,6032000.0,SUV
mercedes-benz,2008,nigerian used,650,4000,petrol,automatic,6760000.0,SUV
acura,2011,nigerian used,90726,3700,petrol,automatic,4200000.0,SUV
toyota,2013,nigerian used,79393,4700,petrol,automatic,26000000.0,SUV
lexus,2004,nigerian used,98430,4700,petrol,automatic,4680000.0,SUV
toyota,2010,foreign used,237886,2400,petrol,automatic,3675000.0,
lexus,2006,nigerian used,144513,3300,petrol,automatic,3744000.0,SUV
toyota,2015,nigerian used,67161,2500,petrol,automatic,10400000.0,SUV
mercedes-benz,2016,nigerian used,62476,3500,petrol,automatic,15750000.0,
lexus,2008,nigerian used,224605,4600,petrol,automatic,4725000.0,
toyota,2016,foreign used,149753,2500,hybrid,automatic,5985000.0,
toyota,2013,foreign used,169183,2700,petrol,automatic,8610000.0,
mercedes-benz,2013,foreign used,222344,3500,petrol,automatic,8925000.0,SUV
toyota,2011,foreign used,93785,3000,petrol,automatic,8528000.0,SUV
mercedes-benz,2010,nigerian used,299309,4600,petrol,automatic,5775000.0,SUV
toyota,2009,foreign used,137397,2400,petrol,automatic,3952000.0,
acura,2011,nigerian used,178050,3700,petrol,automatic,5200000.0,SUV
toyota,2015,foreign used,218139,2700,petrol,automatic,8925000.0,SUV
mercedes-benz,2008,foreign used,175183,3000,petrol,automatic,4680000.0,
toyota,2010,foreign used,158684,2500,petrol,automatic,3780000.0,
mercedes-benz,2014,foreign used,83189,2000,petrol,automatic,11232000.0,
land rover,2006,nigerian used,113872,4400,petrol,automatic,3120000.0,
mercedes-benz,2007,nigerian used,110228,4500,petrol,automatic,5200000.0,SUV
toyota,2011,foreign used,257742,3500,petrol,automatic,4935000.0,
toyota,2014,foreign used,86077,3500,petrol,automatic,14700000.0,SUV
toyota,2012,nigerian used,76334,3500,petrol,automatic,5565000.0,SUV
lexus,2014,foreign used,139592,4600,petrol,automatic,23920000.0,SUV
mercedes-benz,2011,nigerian used,193201,3500,petrol,automatic,5616000.0,
toyota,2007,nigerian used,104336,2400,petrol,automatic,3328000.0,SUV
mercedes-benz,2006,foreign used,239529,5000,petrol,automatic,4515000.0,SUV
land rover,2006,foreign used,118872,3500,petrol,automatic,3150000.0,SUV
toyota,2014,foreign used,89208,2500,petrol,automatic,5250000.0,
lexus,2008,nigerian used,186699,3500,petrol,automatic,3640000.0,
lexus,2007,nigerian used,156579,3500,petrol,automatic,5200000.0,SUV
lexus,2014,nigerian used,69129,4600,petrol,automatic,18375000.0,SUV
land rover,2011,nigerian used,7842,4000,petrol,automatic,6825000.0,SUV
toyota,2010,nigerian used,106427,3500,petrol,automatic,6968000.0,SUV
toyota,2016,foreign used,55055,2500,petrol,automatic,6720000.0,
toyota,2007,foreign used,401813,2400,petrol,automatic,3885000.0,
lexus,2008,foreign used,323768,3500,petrol,automatic,3832500.0,
lincoln,2019,nigerian used,35976,2000,petrol,automatic,17850000.0,SUV
toyota,2017,nigerian used,101979,3500,petrol,automatic,15600000.0,
toyota,2015,foreign used,40962,2500,petrol,automatic,10400000.0,
toyota,2011,foreign used,142689,2400,petrol,automatic,4680000.0,
mercedes-benz,2012,nigerian used,99661,3500,petrol,automatic,7280000.0,
land rover,2011,nigerian used,7842,4000,petrol,automatic,6825000.0,SUV
mercedes-benz,2010,foreign used,242841,3500,petrol,automatic,6615000.0,SUV
lexus,2012,foreign used,135295,3500,petrol,automatic,7072000.0,
mercedes-benz,2013,nigerian used,90604,4700,petrol,automatic,15600000.0,SUV
land rover,2006,nigerian used,137818,4000,petrol,automatic,3328000.0,SUV
lexus,2007,nigerian used,177336,3500,petrol,automatic,3650000.0,SUV
toyota,2010,foreign used,159981,3500,petrol,automatic,7560000.0,SUV
land rover,2010,nigerian used,140366,50000,petrol,automatic,4200000.0,SUV
lexus,2012,foreign used,134949,3500,petrol,automatic,10192000.0,SUV
toyota,2008,foreign used,197403,3500,petrol,automatic,4200000.0,
lexus,2007,foreign used,258585,35000,petrol,automatic,4160000.0,
toyota,2005,foreign used,260730,4700,petrol,automatic,4992000.0,SUV
lexus,2009,foreign used,246462,3500,petrol,automatic,5200000.0,
mercedes-benz,2014,nigerian used,51111,2000,petrol,automatic,8320000.0,
mercedes-benz,2017,nigerian used,33853,3000,petrol,automatic,33280000.0,SUV
toyota,2015,foreign used,150157,2700,petrol,automatic,10400000.0,SUV
lexus,2007,foreign used,175836,3500,petrol,automatic,4680000.0,
toyota,2010,foreign used,214972,2500,petrol,automatic,3675000.0,
mercedes-benz,2012,foreign used,165585,3500,petrol,automatic,13520000.0,SUV
land rover,2006,nigerian used,137818,4000,petrol,automatic,3328000.0,SUV
toyota,2017,nigerian used,101979,3500,petrol,automatic,15600000.0,
lexus,2001,foreign used,199731,3000,petrol,automatic,3150000.0,SUV
lexus,2007,foreign used,110621,2500,petrol,automatic,4095000.0,
gmc,2008,nigerian used,167643,3600,petrol,automatic,3360000.0,SUV
mercedes-benz,2015,foreign used,111697,3200,petrol,automatic,11550000.0,
lexus,2005,foreign used,184460,3000,petrol,automatic,3675000.0,
lexus,2007,nigerian used,156579,3500,petrol,automatic,5200000.0,SUV
toyota,2009,foreign used,176951,2700,petrol,automatic,6300000.0,SUV
toyota,2011,foreign used,211357,2500,petrol,automatic,4515000.0,
acura,2010,foreign used,147282,3700,petrol,automatic,9360000.0,SUV
lexus,2010,nigerian used,203171,4600,petrol,automatic,13520000.0,SUV
mercedes-benz,2014,foreign used,33820,3500,petrol,automatic,11440000.0,
lexus,2007,foreign used,158117,3500,petrol,automatic,3675000.0,
land rover,2016,foreign used,102429,35,petrol,automatic,36750000.0,SUV
toyota,2009,foreign used,127674,2700,petrol,automatic,7140000.0,
mercedes-benz,2009,nigerian used,100337,4600,petrol,automatic,4472000.0,SUV
toyota,2014,foreign used,40470,4000,petrol,automatic,26000000.0,SUV
toyota,2015,nigerian used,37591,3500,petrol,automatic,12480000.0,SUV
land rover,2012,nigerian used,22281,4900,petrol,automatic,8320000.0,SUV
toyota,2011,foreign used,185047,2500,petrol,automatic,4200000.0,
toyota,2012,foreign used,170038,2400,petrol,automatic,5250000.0,
mercedes-benz,2006,foreign used,239529,5000,petrol,automatic,4515000.0,SUV
lexus,2007,foreign used,258585,35000,petrol,automatic,4160000.0,
mercedes-benz,2014,foreign used,83189,2000,petrol,automatic,11232000.0,
toyota,2018,foreign used,106543,2800,petrol,automatic,13520000.0,
toyota,2008,foreign used,86802,2400,petrol,automatic,3045000.0,
land rover,2003,foreign used,161352,3500,petrol,automatic,3150000.0,
toyota,2013,foreign used,195785,3500,petrol,automatic,10400000.0,SUV
toyota,2008,nigerian used,155618,2400,petrol,automatic,3016000.0,SUV
mercedes-benz,2016,foreign used,12053,35000,petrol,automatic,13520000.0,
lexus,2017,foreign used,26250,3500,petrol,automatic,23920000.0,SUV
lexus,2010,foreign used,193624,3500,petrol,automatic,6032000.0,
lexus,2005,foreign used,124007,3300,petrol,automatic,3150000.0,
toyota,2015,foreign used,261250,2500,petrol,automatic,6300000.0,
mercedes-benz,2014,nigerian used,51111,2000,petrol,automatic,8320000.0,
mercedes-benz,2018,foreign used,115896,3500,petrol,automatic,24150000.0,SUV
mercedes-benz,2004,foreign used,204436,2600,petrol,automatic,3675000.0,
mercedes-benz,2012,foreign used,280554,3500,petrol,automatic,9360000.0,
toyota,2012,foreign used,373365,2500,petrol,automatic,4725000.0,
mercedes-benz,2018,foreign used,56263,3000,petrol,automatic,52000000.0,SUV
mercedes-benz,2007,nigerian used,110228,4500,petrol,automatic,5200000.0,SUV
toyota,2009,foreign used,104917,2400,petrol,automatic,3465000.0,
mercedes-benz,2013,foreign used,225174,3500,petrol,automatic,13520000.0,SUV
lexus,2007,foreign used,203757,3500,petrol,automatic,4576000.0,
lexus,2005,foreign used,123282,3000,petrol,automatic,3150000.0,
toyota,2012,foreign used,172079,2500,petrol,automatic,5250000.0,
toyota,2015,nigerian used,47602,3500,petrol,automatic,9660000.0,SUV
toyota,2017,foreign used,78320,2500,petrol,automatic,7035000.0,
toyota,2009,foreign used,104917,2400,petrol,automatic,3465000.0,
lexus,2007,foreign used,203757,3500,petrol,automatic,4576000.0,
toyota,2011,foreign used,211357,2500,petrol,automatic,4515000.0,
toyota,2014,foreign used,115296,3500,petrol,automatic,15600000.0,SUV
lexus,2008,nigerian used,142273,3500,petrol,automatic,4680000.0,SUV
land rover,2018,foreign used,59656,3000,diesel,automatic,42000000.0,SUV
mercedes-benz,2009,nigerian used,100337,4600,petrol,automatic,4472000.0,SUV
toyota,2011,foreign used,145489,2500,petrol,automatic,3885000.0,
toyota,2019,foreign used,63646,2500,petrol,automatic,16800000.0,SUV
mercedes-benz,2004,foreign used,204436,2600,petrol,automatic,3675000.0,
land rover,2006,foreign used,118872,3500,petrol,automatic,3150000.0,SUV
toyota,2015,foreign used,150157,2700,petrol,automatic,10400000.0,SUV
mercedes-benz,2015,nigerian used,61515,3500,petrol,automatic,14560000.0,SUV
toyota,2012,nigerian used,47180,2700,petrol,automatic,14560000.0,SUV
toyota,2011,foreign used,185047,2500,petrol,automatic,4200000.0,
toyota,2009,foreign used,127674,2700,petrol,automatic,7140000.0,
lexus,2007,foreign used,110621,2500,petrol,automatic,4095000.0,
lexus,2008,foreign used,73213,2500,petrol,automatic,3360000.0,
lexus,2004,foreign used,272206,4700,petrol,automatic,11440000.0,SUV
lexus,2008,foreign used,227424,2500,petrol,automatic,4472000.0,
mercedes-benz,2008,nigerian used,226924,2500,petrol,automatic,6394000.0,
lexus,2006,nigerian used,160209,2500,petrol,automatic,4160000.0,
mercedes-benz,2017,foreign used,62879,2000,petrol,automatic,13650000.0,
mercedes-benz,2011,nigerian used,101316,3500,petrol,automatic,5720000.0,
lexus,2006,nigerian used,210014,4700,petrol,automatic,4160000.0,SUV
mercedes-benz,2015,nigerian used,61515,3500,petrol,automatic,14560000.0,SUV
toyota,2015,nigerian used,37591,3500,petrol,automatic,12480000.0,SUV
mercedes-benz,2009,foreign used,232438,3500,petrol,automatic,6300000.0,SUV
toyota,2011,foreign used,317231,2400,petrol,automatic,4472000.0,
toyota,2012,foreign used,325938,2500,petrol,automatic,5250000.0,
mercedes-benz,2012,foreign used,148637,3500,petrol,automatic,13000000.0,SUV
toyota,2009,nigerian used,149599,3500,petrol,automatic,5200000.0,SUV
toyota,2015,foreign used,354563,2400,petrol,manual,15750000.0,
lexus,2007,foreign used,260907,3500,petrol,automatic,3885000.0,
toyota,2011,foreign used,89330,3500,petrol,automatic,7875000.0,
acura,2007,foreign used,196814,3700,petrol,automatic,3570000.0,SUV
lexus,2006,nigerian used,154378,2500,petrol,automatic,4725000.0,
lexus,2006,nigerian used,157518,3300,petrol,automatic,4160000.0,SUV
toyota,2016,foreign used,149753,2500,hybrid,automatic,5985000.0,
lexus,2018,foreign used,47581,20,petrol,automatic,15750000.0,
acura,2008,nigerian used,174107,3700,petrol,automatic,3744000.0,SUV
acura,2007,foreign used,142822,2300,petrol,automatic,3570000.0,
mercedes-benz,2011,foreign used,203172,3500,petrol,automatic,4410000.0,
land rover,2008,foreign used,418613,4400,petrol,automatic,5250000.0,SUV
toyota,2013,nigerian used,103941,2700,petrol,automatic,12480000.0,SUV
toyota,2008,nigerian used,81648,2500,petrol,automatic,7290000.0,
lincoln,2008,foreign used,186615,3500,petrol,automatic,3990000.0,SUV
mercedes-benz,2010,foreign used,149647,3500,petrol,automatic,8112000.0,SUV
mercedes-benz,2011,nigerian used,73624,3500,petrol,automatic,5250000.0,SUV
land rover,2013,nigerian used,70430,2000,petrol,automatic,9360000.0,SUV
toyota,2011,foreign used,244495,3500,petrol,automatic,6090000.0,
toyota,2013,foreign used,135027,2500,petrol,automatic,5616000.0,
mercedes-benz,2008,nigerian used,144059,2500,petrol,automatic,4490000.0,
toyota,2006,foreign used,389832,3500,petrol,automatic,3045000.0,
mercedes-benz,2009,foreign used,232438,3500,petrol,automatic,6300000.0,SUV
land rover,2010,nigerian used,140366,50000,petrol,automatic,4200000.0,SUV
mercedes-benz,2008,nigerian used,109703,2500,petrol,automatic,5610000.0,
land rover,2008,nigerian used,178780,4700,petrol,automatic,3150000.0,SUV
lexus,2002,foreign used,132618,3000,petrol,automatic,3328000.0,
mercedes-benz,2008,nigerian used,91151,2500,petrol,automatic,6170000.0,
mercedes-benz,2010,nigerian used,220223,3000,petrol,automatic,4680000.0,
toyota,2009,foreign used,124609,3500,petrol,automatic,5775000.0,SUV
land rover,2013,nigerian used,76069,4500,petrol,automatic,4200000.0,SUV
lexus,2004,foreign used,158812,3300,petrol,automatic,5408000.0,
lexus,2003,foreign used,239713,4700,petrol,automatic,5565000.0,SUV
toyota,2015,foreign used,147257,2500,petrol,automatic,6615000.0,
lexus,2010,nigerian used,114626,3500,hybrid,automatic,6760000.0,SUV
lexus,2007,foreign used,151892,3500,petrol,automatic,5200000.0,
toyota,2016,foreign used,61068,2500,petrol,automatic,7245000.0,
land rover,2016,foreign used,70973,2000,petrol,automatic,11550000.0,
lexus,2008,foreign used,155216,3500,petrol,automatic,4888000.0,
toyota,2011,nigerian used,235681,3500,petrol,automatic,8528000.0,
mercedes-benz,2008,nigerian used,77475,2500,petrol,automatic,3395000.0,
toyota,2012,foreign used,125026,3500,petrol,automatic,8715000.0,SUV
lexus,2004,nigerian used,161352,33000,petrol,automatic,3045000.0,SUV
toyota,2011,foreign used,244495,3500,petrol,automatic,6090000.0,
mercedes-benz,2020,foreign used,20106,2000,petrol,automatic,58800000.0,SUV
toyota,2015,foreign used,354563,2400,petrol,manual,15750000.0,
toyota,2014,nigerian used,129798,3000,petrol,automatic,4784000.0,
toyota,2010,nigerian used,161209,2700,petrol,automatic,5408000.0,
mercedes-benz,2011,nigerian used,73624,3500,petrol,automatic,5250000.0,SUV
lexus,2003,foreign used,239713,4700,petrol,automatic,5565000.0,SUV
mercedes-benz,2008,nigerian used,1305,3500,petrol,automatic,3432000.0,
lexus,2004,nigerian used,366454,3300,petrol,automatic,3432000.0,
lexus,2008,nigerian used,243860,3500,petrol,automatic,3045000.0,
toyota,2012,foreign used,373365,2500,petrol,automatic,4725000.0,
mercedes-benz,2009,nigerian used,175241,3500,petrol,automatic,3675000.0,SUV
mercedes-benz,2010,nigerian used,191748,3600,petrol,automatic,4160000.0,
